Fecha y Hora de Inicio (dd/MM/aaaa  HH:mm:ss),Fecha y Hora de Finalización (dd/MM/aaaa  HH:mm:ss),"PM10 (ug/m3)
Condición Estándar",Velocidad del Viento (m/s),Dirección del viento (Grados),Temperatura 10cm (°C),Precipitación (mm),Presión atmosférica (mm Hg),Humedad Relativa 10m (%),Radiación Solar Global (W/m2)
01/07/2022 06:00:00 PM,01/07/2022 06:59:59 PM,74.5440345,1.4538462,313.9794872,27.274359,0,757.1980769,73.2948718,0.0666667
01/07/2022 07:00:00 PM,01/07/2022 07:59:59 PM,47.6478835,1.7526316,313.4052632,25.9236842,0,757.7684211,81.731579,0
01/07/2022 08:00:00 PM,01/07/2022 08:59:59 PM,33.791656,1.6447368,316.2026316,25.3657895,0,758.4,83.9131579,0
01/07/2022 09:00:00 PM,01/07/2022 09:59:59 PM,32.887168,0.8846154,329.3333333,24.9717949,0,758.7923077,86.6076923,0
01/07/2022 10:00:00 PM,01/07/2022 10:59:59 PM,46.697824,1.2179487,312.7512821,24.4564103,0,758.675,89.7102564,0
01/07/2022 11:00:00 PM,01/07/2022 11:59:59 PM,25.876265,1.3868421,311.0605263,24.6421053,0,758.4592105,90.1710526,0
01/08/2022 12:00:00 AM,01/08/2022 12:59:59 AM,41.8244092,0.7717949,278.8589744,24.5,0,758.1884615,90.5769231,0
01/08/2022 01:00:00 AM,01/08/2022 01:59:59 AM,36.2526101,0.9487179,313.9230769,24.2410256,0,757.7942308,91.2461539,0
01/08/2022 02:00:00 AM,01/08/2022 02:59:59 AM,33.5124326,0.7421053,294.1947368,24.4184211,0,757.3796053,90.1894737,0
01/08/2022 03:00:00 AM,01/08/2022 03:59:59 AM,28.3009204,0.0815789,19.3,23.9263158,0,757.2177632,91.8342105,0
01/08/2022 04:00:00 AM,01/08/2022 04:59:59 AM,19.3390741,0.1820513,132.6794872,23.2461539,0,757.2615385,93.874359,0
01/08/2022 05:00:00 AM,01/08/2022 05:59:59 AM,21.7427405,0.7435897,329.4153846,23.7153846,0,757.5461538,92.5307692,0.2974359
01/08/2022 06:00:00 AM,01/08/2022 06:59:59 AM,33.2356679,0.5078947,237.0605263,23.8157895,0,758.1947368,91.3473684,17.1052632
01/08/2022 07:00:00 AM,01/08/2022 07:59:59 AM,40.5205837,0.9179487,312.5615385,25.8461539,0,758.8903846,83.374359,92.448718
01/08/2022 08:00:00 AM,01/08/2022 08:59:59 AM,50.1052753,0.7205128,291.1102564,27.6769231,0,759.4538462,75.6102564,144.474359
01/08/2022 09:00:00 AM,01/08/2022 09:59:59 AM,44.7370731,0.9,230.6894737,29.2078947,0,759.7835526,67.6657895,204.3
01/08/2022 10:00:00 AM,01/08/2022 10:59:59 AM,46.1392473,1.55,328.9210526,30.5263158,0,759.6394737,61.3263158,366.0815789
01/08/2022 11:00:00 AM,01/08/2022 11:59:59 AM,41.3803709,0.9948718,258.9666667,32.9871795,0,759.3,54.0948718,746.6923077
01/08/2022 12:00:00 PM,01/08/2022 12:59:59 PM,64.4021129,1.225641,193.7487179,32.9076923,0,758.8788462,59.9820513,648.1769231
01/08/2022 03:00:00 PM,01/08/2022 03:59:59 PM,90.8626905,0.6666667,249.4102564,30.7717949,0,757.5634615,64.5538462,204.0179487
01/08/2022 04:00:00 PM,01/08/2022 04:59:59 PM,70.9164768,0.9078947,277.6789474,29.9421053,0,757.5671053,65.9289474,149.3157895
01/08/2022 05:00:00 PM,01/08/2022 05:59:59 PM,59.3852393,1.0578947,295.7052632,28.3421053,0,757.7348684,70.6289474,30.6684211
01/08/2022 06:00:00 PM,01/08/2022 06:59:59 PM,71.3255022,1.5666667,315.074359,27.1051282,0,757.9903846,77.6769231,0.1282051
01/08/2022 07:00:00 PM,01/08/2022 07:59:59 PM,47.8029732,1.5820513,313.0051282,26.2692308,0,758.5903846,81.5692308,0
